REGIONI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Piemonte,27357,27649,27133,28576,28401,27346,25099,25313,23337,24820,23444,24945,24875,25826,24857,25462,25379,30218,26172,24388,24616,25506,25896
Valle d'Aosta/Vallée d'Aoste,1442,1494,1487,1576,1454,1474,1280,1300,1492,1524,1578,1427,1338,1313,1330,1257,1289,1596,1374,1170,1074,1153,1139
Lombardia,46890,51051,49487,54932,56972,57572,53819,56674,51068,55160,53808,55546,55649,55578,51816,55808,56799,64276,59197,56129,55732,59270,60425
Trentino-Alto Adige,4165,4446,4588,4613,5079,5220,4371,4910,5308,5901,5583,5712,6045,6173,6046,6161,6722,7392,6849,6631,6673,6480,7185
Bolzano/Bozen,1300,1392,1499,1377,1682,1710,1365,1561,1782,1935,2144,2052,2032,2271,2312,2334,2639,2985,2857,2771,2806,2802,3206
Trento,2865,3054,3089,3236,3397,3510,3006,3349,3526,3966,3439,3660,4013,3902,3734,3827,4083,4407,3992,3860,3867,3678,3979
Veneto,17723,20147,20802,23536,24700,26221,22749,24591,24738,24066,23472,24307,24762,24601,22344,21485,23009,24610,20962,21278,21860,23003,24369
Friuli-Venezia Giulia,6525,6417,7581,8251,9203,10553,8913,9225,9137,9130,8328,8737,9439,8972,8162,7940,7976,9462,8237,7839,7710,8086,8545
Liguria,12091,11740,11855,12645,13205,13339,12080,12811,12542,13459,13240,13420,12571,13222,12546,13370,13038,14483,12751,12061,11800,12741,12578
Emilia-Romagna,29492,32564,34244,37869,43122,43829,40073,39933,37555,40782,40327,41988,39359,42929,36543,35539,36985,39753,34681,33124,33689,35468,36953
Toscana,19676,20301,21226,22363,24668,26477,23269,24201,24136,24347,23918,24799,23560,23412,23808,23751,24095,28230,23525,23051,22625,23821,22348
Umbria,5720,6485,6222,6548,6563,7986,6558,6857,6692,6916,7419,7123,7251,7466,7295,7191,6577,8121,6195,6102,6294,6148,6041
Marche,9251,9471,10071,11481,11110,12187,11750,12055,11645,12212,11423,11222,12046,11724,10105,9241,9403,10343,8565,8559,8556,8729,8692
Lazio,26575,25128,28340,28404,27808,38867,29957,30401,30267,30220,31555,32134,30851,33578,31269,32911,33816,46285,36477,34705,33078,34084,32643
Abruzzo,7268,7427,7633,7606,7540,8166,7543,7752,7527,8139,9130,8447,9000,9178,7752,8055,8344,10403,9157,8244,7821,8089,7068
Molise,2135,2211,2218,2187,2306,2571,2355,2619,2350,2182,2109,2299,2260,2402,2297,2227,2672,2963,2495,2319,2106,2155,2001
Campania,17555,17193,18815,17995,18679,20480,17995,20886,21221,21209,20444,20983,20532,20752,22149,21473,20126,24074,23406,23130,21879,21697,20748
Puglia,14667,14374,15450,15809,16776,16332,15069,15704,15508,15171,15307,14774,14342,14964,14724,15333,14467,15960,15410,14655,14071,14587,14444
Basilicata,3332,2969,3042,3222,3389,3371,2994,3011,3018,2763,2698,2660,2709,2455,2526,2638,3150,3508,3193,2991,2713,2800,2792
Calabria,12273,11327,12600,12511,11254,13078,10664,12352,12500,10556,10212,10514,10549,10307,10970,10674,9702,11428,10488,10318,9314,9604,8490
Sicilia,16814,16853,17715,17855,16850,16897,17466,18024,17825,19034,18875,18671,18669,18389,19481,19367,17642,20316,18318,16536,15545,15208,14581
Sardegna,6798,6936,6777,6873,6681,7042,6129,7842,7990,8052,8099,8360,8008,7913,6995,7375,6675,7830,7237,6391,6132,6068,5929
Italia,287749,296183,307286,324852,335760,359008,320133,336461,325856,335643,330969,338068,333815,341154,323015,327258,327866,381251,334689,319621,313288,324697,322867
