region,2011,2012,2013,2014,2015,2016,2017,difference
Abruzzo,"42,85","39,07","39,48","38,16","37,65","36,29","34,39","-19,75"
Basilicata,"44,47","40,21","41,97","40,08","38,43","39,42","37,46","-15,75"
Bolzano-Bozen,"25,00","24,56","24,44","24,68","24,04","24,84","25,21","0,86"
Calabria,"37,41","36,11","35,77","36,42","36,94","38,09","38,21","2,13"
Campania,"62,51","61,15","61,41","62,20","61,09","59,03","53,64","-14,18"
Emilia-Romagna,"29,56","28,49","28,69","27,49","27,09","26,76","24,61","-16,74"
Friuli Venezia Giulia,"24,65","22,95","24,38","23,92","24,20","24,18","23,11","-6,26"
Lazio,"44,06","43,35","42,68","41,62","39,82","39,05","37,46","-14,99"
Liguria,"34,66","33,95","35,26","34,02","33,25","31,02","29,87","-13,82"
Lombardia,"28,83","28,08","28,23","27,96","26,89","27,01","26,38","-8,51"
Marche,"34,67","34,18","34,83","35,70","33,63","33,76","32,04","-7,57"
Molise,"47,02","48,08","48,05","45,43","45,32","46,73","44,14","-6,12"
Piemonte,"30,41","30,53","29,84","28,67","28,45","28,60","27,09","-10,93"
Puglia,"46,59","42,24","41,02","41,08","42,04","43,92","41,58","-10,75"
Sardegna,"41,46","41,10","41,97","40,12","39,79","38,82","37,77","-8,89"
Sicilia,"46,60","44,71","44,54","43,92","43,32","41,75","41,82","-10,26"
Toscana,"26,07","26,24","25,54","26,22","25,67","26,41","25,92","-0,56"
Trento,"26,91","26,36","25,22","25,74","24,04","20,70","21,82","-18,90"
Umbria,"31,19","32,15","31,30","30,79","28,07","28,33","27,18","-12,87"
Valle d'Aosta/Vallée d'Aoste,"31,15","32,86","33,56","32,96","28,78","30,47","28,42","-8,75"
Veneto,"27,04","26,75","26,40","25,11","24,97","24,95","22,98","-15,03"
