"regione","mean_cs"
NA,23.36
"ABRUZZO",24.2744444444444
"BASILICATA",27.092
"CALABRIA",28.8992307692308
"CAMPANIA",38.2205357142857
"EMILIA ROMAGNA",16.3
"FRIULI VENEZIA GIULIA",13.4654545454545
"LAZIO",33.4909090909091
"LIGURIA",20.6209090909091
"LOMBARDIA",18.5519696969697
"MARCHE",26.3571428571429
"MOLISE",25.83
"PIEMONTE",21.5988888888889
"PROV. AUTON. BOLZANO",18.816
"PROV. AUTON. TRENTO",12.855
"PUGLIA",31.6125
"SARDEGNA",24.3806666666667
"SICILIA",28.7316666666667
"TOSCANA",21.5116
"UMBRIA",19.42
"VALLE D`AOSTA",20.14
"VENETO",16.755
