"year","asl","alta","bassa","tot","cum_tot","cum_alta","cum_bassa","prop_alta"
2010,"asl_1",49,3,52,52,49,3,0.942307692307692
2010,"asl_2",0,0,0,0,0,0,NA
2010,"asl_3",0,0,0,0,0,0,NA
2010,"asl_4",0,0,0,0,0,0,NA
2010,"asl_5",3,0,3,3,3,0,1
2010,"asl_6",0,0,0,0,0,0,NA
2010,"asl_7",5,0,5,5,5,0,1
2010,"asl_8",0,0,0,0,0,0,NA
2011,"asl_1",12,1,13,65,61,4,0.938461538461538
2011,"asl_2",0,0,0,0,0,0,NA
2011,"asl_3",0,0,0,0,0,0,NA
2011,"asl_4",1,0,1,1,1,0,1
2011,"asl_5",3,0,3,6,6,0,1
2011,"asl_6",14,4,18,18,14,4,0.777777777777778
2011,"asl_7",38,1,39,44,43,1,0.977272727272727
2011,"asl_8",26,1,27,27,26,1,0.962962962962963
2012,"asl_1",94,13,107,172,155,17,0.901162790697674
2012,"asl_2",6,0,6,6,6,0,1
2012,"asl_3",59,1,60,60,59,1,0.983333333333333
2012,"asl_4",2,0,2,3,3,0,1
2012,"asl_5",3,0,3,9,9,0,1
2012,"asl_6",15,7,22,40,29,11,0.725
2012,"asl_7",72,0,72,116,115,1,0.991379310344828
2012,"asl_8",49,2,51,78,75,3,0.961538461538462
2013,"asl_1",54,4,58,230,209,21,0.908695652173913
2013,"asl_2",1,0,1,7,7,0,1
2013,"asl_3",3,0,3,63,62,1,0.984126984126984
2013,"asl_4",0,0,0,3,3,0,1
2013,"asl_5",2,0,2,11,11,0,1
2013,"asl_6",3,2,5,45,32,13,0.711111111111111
2013,"asl_7",43,0,43,159,158,1,0.993710691823899
2013,"asl_8",27,0,27,105,102,3,0.971428571428571
2014,"asl_1",114,2,116,346,323,23,0.933526011560694
2014,"asl_2",1,0,1,8,8,0,1
2014,"asl_3",5,0,5,68,67,1,0.985294117647059
2014,"asl_4",0,0,0,3,3,0,1
2014,"asl_5",3,0,3,14,14,0,1
2014,"asl_6",3,0,3,48,35,13,0.729166666666667
2014,"asl_7",149,1,150,309,307,2,0.993527508090615
2014,"asl_8",44,1,45,150,146,4,0.973333333333333
2015,"asl_1",44,5,49,395,367,28,0.929113924050633
2015,"asl_2",0,0,0,8,8,0,1
2015,"asl_3",0,0,0,68,67,1,0.985294117647059
2015,"asl_4",6,24,30,33,9,24,0.272727272727273
2015,"asl_5",3,0,3,17,17,0,1
2015,"asl_6",2,0,2,50,37,13,0.74
2015,"asl_7",113,0,113,422,420,2,0.995260663507109
2015,"asl_8",25,2,27,177,171,6,0.966101694915254
2016,"asl_1",90,14,104,499,457,42,0.915831663326653
2016,"asl_2",0,3,3,11,8,3,0.727272727272727
2016,"asl_3",364,28,392,460,431,29,0.93695652173913
2016,"asl_4",17,1,18,51,26,25,0.509803921568627
2016,"asl_5",34,1,35,52,51,1,0.980769230769231
2016,"asl_6",8,0,8,58,45,13,0.775862068965517
2016,"asl_7",128,0,128,550,548,2,0.996363636363636
2016,"asl_8",54,3,57,234,225,9,0.961538461538462
2017,"asl_1",77,25,102,601,534,67,0.888519134775374
2017,"asl_2",3,0,3,14,11,3,0.785714285714286
2017,"asl_3",72,16,88,548,503,45,0.917883211678832
2017,"asl_4",24,0,24,75,50,25,0.666666666666667
2017,"asl_5",33,3,36,88,84,4,0.954545454545455
2017,"asl_6",10,0,10,68,55,13,0.808823529411765
2017,"asl_7",105,1,106,656,653,3,0.995426829268293
2017,"asl_8",45,2,47,281,270,11,0.96085409252669
2018,"asl_1",51,32,83,684,585,99,0.855263157894737
2018,"asl_2",1,0,1,15,12,3,0.8
2018,"asl_3",3,0,3,551,506,45,0.918330308529946
2018,"asl_4",7,0,7,82,57,25,0.695121951219512
2018,"asl_5",6,3,9,97,90,7,0.927835051546392
2018,"asl_6",11,1,12,80,66,14,0.825
2018,"asl_7",83,5,88,744,736,8,0.989247311827957
2018,"asl_8",12,0,12,293,282,11,0.962457337883959
