year,type,asl 1,asl 2,asl 3,asl 4,asl 5,asl 6,asl 7,asl 8
2010,alta,49,0,0,0,3,0,5,0
2010,bassa,3,0,0,0,0,0,0,0
2011,alta,12,0,0,1,3,14,38,26
2011,bassa,1,0,0,0,0,4,1,1
2012,alta,94,6,59,2,3,15,72,49
2012,bassa,13,0,1,0,0,7,0,2
2013,alta,54,1,3,0,2,3,43,27
2013,bassa,4,0,0,0,0,2,0,0
2014,alta,114,1,5,0,3,3,149,44
2014,bassa,2,0,0,0,0,0,1,1
2015,alta,44,0,0,6,3,2,113,25
2015,bassa,5,0,0,24,0,0,0,2
2016,alta,90,0,364,17,34,8,128,54
2016,bassa,14,3,28,1,1,0,0,3
2017,alta,77,3,72,24,33,10,105,45
2017,bassa,25,0,16,0,3,0,1,2
2018,alta,51,1,3,7,6,11,83,12
2018,bassa,32,0,0,0,3,1,5,0
